frame,time_s,rx,ry,gx,gy
174,2.8991420118343196,213,3823,745,2209
175,2.915803747534517,1114,2056,687,2162
176,2.932465483234714,232,3824,647,2119
177,2.9491272189349114,164,3822,613,2077
178,2.9657889546351086,546,3833,585,2033
179,2.982450690335306,459,1567,562,1989
180,2.999112426035503,284,1584,540,1938
181,3.0157741617357003,332,3827,522,1878
182,3.0324358974358976,85,1794,509,1810
183,3.049097633136095,129,1938,504,1748
184,3.065759368836292,242,2039,505,1702
185,3.0824211045364893,384,2097,507,1680
186,3.0990828402366866,557,2116,507,1682
187,3.115744575936884,184,3823,505,1710
188,3.132406311637081,846,2030,505,1756
189,3.1490680473372783,144,3822,510,1823
190,3.1657297830374755,193,3824,531,1910
191,3.182391518737673,197,3824,564,1992
192,3.19905325443787,293,3826,615,2077
193,3.2157149901380673,268,3825,683,2157
194,3.2323767258382645,255,3825,742,2209
195,3.2490384615384618,232,3825,808,2252
196,3.265700197238659,443,2313,859,2276
197,3.2823619329388563,560,2551,883,2287
198,3.2990236686390535,794,2699,891,2289
199,3.3156854043392507,1070,2681,905,2293
200,3.332347140039448,1293,2555,945,2306
201,3.3490088757396452,1450,2361,1021,2319
202,3.365670611439842,264,3826,1110,2324
203,3.3823323471400393,265,3826,1210,2313
204,3.3989940828402365,1525,1880,1324,2275
205,3.4156558185404338,164,3824,1419,2228
206,3.432317554240631,139,3823,1498,2156
207,3.4489792899408283,179,3824,1565,2077
208,3.4656410256410255,251,3826,1612,2007
209,3.4823027613412227,254,3826,1642,1934
210,3.49896449704142,188,3825,1662,1868
211,3.5156262327416172,193,3825,1672,1812
212,3.5322879684418145,184,3825,1675,1762
213,3.5489497041420117,184,3824,1676,1720
214,3.565611439842209,137,3823,1674,1689
215,3.582273175542406,190,3825,1672,1666
216,3.5989349112426035,164,3824,1670,1652
217,3.6155966469428007,136,3824,1669,1647
218,3.632258382642998,125,3823,1670,1650
219,3.648920118343195,123,3822,1671,1661
220,3.6655818540433924,104,3822,1674,1683
221,3.6822435897435897,98,3822,1676,1712
222,3.698905325443787,1901,1366,1676,1752
223,3.715567061143984,1920,1424,1673,1798
224,3.7322287968441814,115,3823,1665,1850
225,3.7488905325443787,141,3824,1648,1913
226,3.765552268244576,1968,1684,1626,1976
227,3.782214003944773,1975,1807,1591,2040
228,3.7988757396449704,1970,1951,1544,2107
229,3.8155374753451676,183,3825,1493,2161
230,3.832199211045365,1872,2306,1438,2209
231,3.848860946745562,1739,2496,1377,2249
232,3.8655226824457594,1550,2638,1318,2277
233,3.8821844181459566,1334,2718,1256,2300
234,3.898846153846154,1097,2729,1184,2316
235,3.915507889546351,879,2683,1101,2324
236,3.9321696252465483,707,2605,1017,2319
237,3.9488313609467456,557,2515,910,2296
238,3.965493096646943,426,2418,813,2256
239,3.98215483234714,321,2333,735,2207
240,3.9988165680473373,125,3822,662,2135
241,4.015478303747535,125,3821,602,2059
242,4.032140039447732,136,3822,559,1981
243,4.048801775147929,141,3822,528,1902
244,4.065463510848126,129,3822,513,1830
245,4.0821252465483235,132,3821,505,1770
246,4.09878698224852,135,3821,505,1717
247,4.115448717948718,471,3830,507,1675
248,4.132110453648915,169,3820,511,1644
249,4.1487721893491125,107,1725,515,1622
250,4.165433925049309,441,3830,518,1610
251,4.182095660749507,435,3830,519,1606
252,4.198757396449704,211,3823,518,1610
253,4.2154191321499015,211,3823,515,1623
254,4.232080867850098,171,3822,511,1645
255,4.248742603550296,187,3823,507,1677
256,4.265404339250493,145,3822,505,1717
257,4.2820660749506905,460,3830,506,1764
258,4.298727810650887,460,3831,511,1823
259,4.315389546351085,461,3831,526,1887
260,4.332051282051282,312,3827,546,1955
